717 21289
157 297
369 352 724973632
491 307 681835460
542 248 675509043
249 578 741893072
8 536 541384596
520 617 658727143
647 125 864429766
593 265 200394249
430 312 607795156
360 562 881105776
101 161 58495873
523 161 531915167
370 281 167494808
620 24 13682933
592 76 703207169
426 432 545419268
164 190 322085928
382 84 407909050
270 314 330161476
412 118 235004923
431 716 2509138
190 409 18059662
695 536 972124185
174 714 473196862
286 210 628562219
615 260 503295227
708 68 988805007
688 712 60871511
467 368 18581225
52 123 21112070
102 249 156843975
398 150 466641469
195 39 82960367
670 436 457973990
564 508 180658054
630 142 407642759
13 330 542681556
9 649 868699062
469 342 720101958
556 700 31161317
372 713 990690037
695 191 517032899
182 341 545436584
348 204 505567210
634 620 706464630
23 1 246438588
50 153 771372380
429 232 423123702
73 693 376804938
526 307 174754638
571 527 314877380
343 168 871097334
293 510 746634710
462 221 190941590
546 617 218801795
310 616 251359714
609 509 81676273
115 183 813230294
710 348 366043902
647 587 452324335
562 678 112505113
647 354 800794721
76 109 801861541
364 419 992849280
665 178 213793029
305 548 466561778
187 7 10656612
21 666 321429998
335 407 108985769
324 282 706547710
437 390 580292688
453 353 63345462
217 500 707749755
78 80 176016897
304 1 486397883
318 230 73240466
610 530 887253300
498 232 312558598
578 579 60303647
660 394 925487831
117 656 243860857
376 336 401517972
546 588 96412798
526 555 369115254
5 331 635581879
290 596 722054259
565 437 168556336
602 623 579272455
413 458 202860243
708 634 830866215
20 601 983573227
328 484 578775914
143 154 452114474
484 15 257011277
634 503 341165821
649 51 160640302
661 577 909045779
26 479 303643789
310 644 239560152
197 440 376967482
572 445 755476411
95 175 955199508
149 282 743045523
455 107 651021421
433 437 331931831
63 419 369402261
459 319 311240885
153 312 801615600
661 689 701812046
145 676 128405655
9 303 397964789
566 214 869624628
7 544 497599773
14 144 285449498
31 42 640386164
367 195 748315759
643 46 170205785
235 260 276177790
214 11 784253654
246 301 694636553
129 224 240893524
254 371 907240610
676 418 956689734
212 141 332604082
480 388 200851658
116 228 844719977
397 399 899158662
387 661 129242420
464 656 861144912
586 421 70418376
161 336 689661456
346 673 395941650
520 445 648600686
408 543 879357839
204 713 620907889
2 301 928050292
39 330 944802041
559 530 122439444
555 442 512409157
478 437 977493534
662 318 37969164
197 620 723113980
572 470 870916158
342 20 360917380
368 590 484357310
155 143 761748534
321 387 768130750
55 381 229247300
432 582 583538541
52 493 700264516
172 283 720230153
591 497 646028719
708 370 38997791
575 671 224182368
680 115 700080660
221 153 726153002
304 427 869274422
525 691 876234757
362 104 955684779
593 193 295183804
87 670 837414498
550 309 203873502
8 79 797957796
525 379 221877586
122 76 561907652
279 436 743223140
453 60 291488689
163 451 771769642
643 638 803021284
133 97 576341406
690 283 255507612
22 505 229914956
612 561 115501311
164 282 355067533
571 252 227521736
350 584 369309982
202 484 208969131
191 23 174453538
594 445 527327376
106 702 274601391
664 530 110505128
55 273 886283593
611 211 568138450
406 363 489564613
537 269 14230054
379 486 448445938
49 485 430036515
397 340 201262106
262 485 7424747
451 260 937171013
409 407 878956885
706 716 739608314
699 222 947106106
467 448 142401838
630 628 80965341
149 121 270604020
577 551 792503673
591 582 226802914
327 401 148444267
425 557 777393442
716 296 189557792
148 312 802072083
264 395 819519544
644 371 67667005
489 108 313806480
507 464 462964146
282 717 322712764
201 44 948547349
522 10 23082785
322 486 652170854
294 609 590911768
714 570 688867118
101 587 963230031
93 17 267085247
178 80 419747594
694 369 56664373
173 282 156126354
541 657 659161229
39 123 356157357
589 658 276679007
588 457 381730456
551 353 159717769
458 226 626983616
487 479 310806729
264 596 737619912
423 252 922603186
222 137 317451279
560 502 182832061
715 339 780473943
483 99 619993408
458 469 352138134
117 138 490625185
430 561 598379614
710 203 473114112
45 551 769033679
225 505 426858245
311 268 48490635
289 703 596457336
13 292 667838891
663 189 944224924
442 9 134048661
382 510 798516773
295 454 230666536
486 455 694237295
597 414 768836427
418 119 748336260
661 545 203764233
367 693 149374048
211 118 704014166
263 334 560955670
288 423 18495800
254 352 594236866
443 259 288609027
142 694 798630290
660 618 778722535
36 89 310022414
15 623 934041765
600 651 750719813
359 282 3295786
101 704 536725663
707 579 482439726
244 119 263990131
568 380 608086310
389 398 777839002
616 301 271522985
194 81 613035977
558 6 645398000
640 407 260285406
599 658 413422181
208 19 635298811
12 355 449152514
76 218 29809876
76 705 205630442
140 516 241771662
682 622 444977661
625 713 706343674
246 461 966866399
652 89 895988225
511 376 435559905
108 286 758604499
20 528 470306531
545 234 312163479
458 104 539659020
42 244 422471632
240 518 592783333
234 211 264406249
397 548 459135038
31 126 2049096
98 293 679097318
422 537 141870974
199 394 638251980
207 340 526273910
18 151 543553572
364 598 145420576
53 626 529490582
646 401 309605755
325 288 355273122
437 226 310153611
17 377 592965143
212 599 647225747
181 296 536756609
11 305 160719269
639 528 175367745
347 515 255288939
168 712 135244469
635 128 480820540
330 588 281793685
627 623 445504911
466 331 659908164
338 651 715088271
660 196 908961158
73 381 46592870
329 649 348965801
58 537 129258702
373 619 245495330
147 132 473229558
233 341 495120455
340 351 953855312
399 481 459010968
249 608 722224893
32 274 347503350
268 614 890101599
593 204 585535074
652 163 881192460
442 247 842151985
255 649 42649181
165 600 574800420
136 537 798369043
685 242 290253728
134 7 63166439
196 214 157492102
596 702 505021896
108 76 247501608
290 139 117640057
528 389 581596351
67 711 197449710
308 286 693942916
365 237 540157013
180 581 438599709
469 69 698291779
353 311 393385424
337 511 779500262
436 637 378457928
670 660 958856180
418 469 986042500
263 472 662102692
450 77 711304837
588 379 830079908
142 639 734802399
292 258 689235517
243 37 902852093
472 704 995640967
101 152 938883252
458 709 673555550
401 6 863914342
461 411 950482970
469 494 274282007
105 352 173658018
276 514 185772995
473 309 647164436
55 420 178846369
327 240 263132947
39 656 568941067
315 599 675332993
